product_title,product_size,product_min_price
Oak Farms Whole Milk 1 Gallon,1gal,4.99
MilkyWay Single Bar 1.84oz,1.84oz,1.99
Prairie Farms 1% Chocolate Milk 14oz,14oz,2.49
Oak Farms 2% Milk 1 Pint,1pt,1.99
Upstate Farms Chocolate Milk Pint,1pt,2.09
Nesquik Banana Strawberry Milk 14oz,14oz,2.29
Nesquik Banana Strawberry Milk 14oz,14oz,2.29
Shamrock Farms Chocolate Milk 12oz,12oz,1.89
7-Select GO! Yum Milk Chocolate Caramel Filled Bar 1.75oz,1.75oz,1.99
"Muscle Milk Pro Series Protein Shake, Knockout Chocolate 14oz",14oz,4.59
Upstate Farms Intense Choc Milk 1 Half Gallon,1hgal,3.59
NESQUIK Low Fat Double Chocolate Milk 14oz,14oz,1.99
Milk Bar Ice Cream Birthday Cake 14oz,1pt,6.79
Model Dairy Fat Free Milk Half Gallon,1hg,3.89
Almond Joy King Size 3.22oz,3.22oz,2.49
Turner's Whole Milk Half gallon,1hgal,3.89
Borden Strawberry Milk 1 Pint,1pt,2.09
Shamrock Farms Whole Milk 20oz,20oz,3.29
Prairie Farms Skim Milk Gallon,1gal,4.69
Horizon Organic Whole Milk 64oz,64oz,6.49
Borden Skim Milk Gallon,1gal,4.89
Snicker Lowfat Chocolate Milk 14oz,14oz,2.49
Twix Lowfat Chocolate Milk 14oz,14oz,2.49
Maola 2% Reduced Fat Rich Chocolate Milk 12oz,12oz,2.39
Turner's Chocolate Whole Milk 1 Quart,1qt,3.29
Muscle Milk Smoothie Strawberry Banana 15.8oz,15.8oz,3.99
Oak Farms Fat-Free Milk 1 Gallon,1gal,4.99
Nesquik Vanilla Milk 14oz,14oz,2.19
Fairlife Yup! Rich Chocolate 1% 14oz,14oz,2.49
Muscle Milk Vanilla Shake 14oz,14oz,3.59
Muscle Milk Banana Shake 14oz,14oz,3.49
FairlifeYUP! 2% Cookies & Cream Milk 14oz,14oz,2.19
Edaleen Whole Milk Half Gallon,64oz,3.39
Oak Farms 2% Milk 1 Quart,1qt,2.79
Almond Joy 1.61oz,1.61oz,1.99
Upstate Farms 1% Milk 1 Gallon,1gal,4.79
Upstate Farms 1% Milk 1 Quart,1qt,2.59
Berkeley Farms 2% Milk Half Gallon,64oz,4.19
Oak Farms 2% Milk 1 Gallon,1gal,4.99
Shamrock Farms Half & Half Pint,1pt,3.19
Oak Farms Fat-Free Milk Half Gallon,1hg,3.29
Prairie Farms 2% Milk Quart,1qt,3.19
Alpenrose Chocolate 3% Milk Pint,1pt,2.79
Alpenrose Chocolate 3% Milk Quart,1qt,3.19
Prairie Farms 2% Milk Pint,1pt,3.29
Shamrock Farms 2% Milk 12oz,12oz,1.69
Upstate Farms 1% Milk 1 Half Gallon,1hgal,3.29
Upstate Farms Skim Milk 1% Half Gallon,1hgal,3.29
Producers Double Chocolate Whole Milk 1 Quart,1qt,3.29
Edaleen Whole Milk 1 Quart,1qt,2.89
Milk Bone Dog Biscuits Medium 24oz,24oz,6.49
Reese's Cup with Pieces Standard 1.5oz,1.5oz,1.59
FairlifeYUP! 1% Vanilla Milk 14oz,14oz,0.99
Edaleen Chocolate Whole Milk Half Gallon,64oz,3.99
Edaleen Strawberry Whole Milk 1 Quart,1qt,2.99
Upstate Farms Whole Milk 1 Gallon,1gal,4.79
Upstate Farms Skim Milk 1 Gallon,1gal,4.79
Upstate Farms Whole Milk 1 Quart,1qt,2.59
